Message,Category
"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",ham
Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,ham
Yes. Nigh you cant aha.,ham
Call me when u finish then i come n pick u.,ham
your account will be strictly locked if people do not confirm our claim. best follow the note to email :,spam
Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx,ham
How much it will cost approx . Per month.,ham
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,ham
I had askd u a question some hours before. Its answer,ham
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,spam
Where is it. Is there any opening for mca.,ham
"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",ham
o turns out i had stereo love on mi phone under the unknown album.,ham
"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",ham
Then why you came to hostel.,ham
Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam
"Hi Chikku, send some nice msgs",ham
Hi its in durban are you still on this number,ham
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham
your listing violates the platform content usage guidelines when you find removed. update your account information to address this : www. facebook - index. info / [UNK],spam
We stopped to get ice cream and will go back after,ham
Don know. I did't msg him recently.,ham
This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,ham
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,ham
Okie,ham
It shall be fine. I have avalarr now. Will hollalater,ham
No b4 Thursday,ham
Oh k...i'm watching here:),ham
its buyer can and may purchase your item but cannot proceed until user account is cleared. log yourself here : amazon. shop - experience. com / login,spam
Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,ham
Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,ham
more information on [ service name ] has been placed down on caller identification. verify your unlock to unlock it : www. social - profile. com / unlock,spam
Beerage?,ham
Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,ham
your account cannot be officially locked if we have not confirm your claim. please follow the text to facebook :,spam
Takin a shower now but yeah I'll leave when I'm done,ham
Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,ham
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",spam
(That said can you text him one more time?),ham
I AM AT A PARTY WITH ALEX NICHOLS,ham
:( but your not here....,ham
"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",ham
"congratulations, this already spent $ 1000! confirm this identity and claim your inheritance by clicking on link :",spam
I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),ham
No da if you run that it activate the full version da.,ham
Okie...,ham
I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,ham
Ok. I asked for money how far,ham
How. Its a little difficult but its a simple way to enter this place,ham
Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.,ham
yahoo! you ' ve started now 2 - year net subscription. first existing account to claim your account : www. premium - offers. com / 2011,spam
Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,ham
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",ham
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
Dear :-/ why you mood off. I cant drive so i brother to drive,ham
A new email has arrived but cannot be delivered due to a full inbox. Clear space or increase your storage limit: www.email-storage.com/upgrade,spam
Also that chat was awesome but don't make it regular unless you can see her in person,ham
Wah... Okie okie... Muz make use of e unlimited... Haha...,ham
general information on [ your name ] is not locked led to suspicious activity. use your account password unlock email : mail. service - balance. com / unlock,spam
Lol well don't do it without me. We could have a big sale together.,ham
Yeah I can still give you a ride,ham
U buy newspapers already?,ham
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,ham
my ex-wife was not able to have kids. Do you want kids one day?,ham
So wat's da decision?,ham
"Goodmorning, today i am late for 1hr.",ham
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,ham
Hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x,ham
your listing exceeding the copyright ’ licensing guidelines and might remain compromised. update your own page to view this : self. listing - update. com / file,spam
Wat time u finish ur lect today?,ham
Are you this much buzy,ham
"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",ham
I dont know ask to my brother. Nothing problem some thing that. Just i told .,ham
What time do u get out?,ham
I am on the way to ur home,ham
Thats cool princess! I will cover your face in hot sticky cum :),ham
Otherwise had part time job na-tuition..,ham
Oh. U must have taken your REAL Valentine out shopping first.,ham
"unlike complete advanced transaction processing, secure authentication is essential. write out the form here : www. payment - confirmation. com / form",spam
Waiting in e car 4 my mum lor. U leh? Reach home already?,ham
Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ham
Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,ham
How much u trying to get?,ham
"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",ham
"Alright, we're all set here, text the man",ham
Ok lor...,ham
I gotta collect da car at 6 lei.,ham
Erm. I thought the contract ran out the4th of october.,ham
Just come home. I don't want u to be miserable,ham
"Are you sure you don't mean ""get here, we made you hold all the weed""",ham
Why don't you wait 'til at least wednesday to see if you get your .,ham
Yeah whatever lol,ham
"dear administrator, this portal has remained temporarily closed due upon incomplete requests. please confirm positive participation by choosing this link : www. verification - platform. com / confirm",spam
I want  &lt;#&gt;  rs da:)do you have it?,ham
"Dad wanted to talk about the apartment so I got a late start, omw now",ham
You were supposed to wake ME up &gt;:(,ham
83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541,spam
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",ham
O. Well uv causes mutations. Sunscreen is like essential thesedays,ham
Id have to check but there's only like 1 bowls worth left,ham
My friends use to call the same.,ham
Sary just need Tim in the bollox &it hurt him a lot so he tol me!,ham
Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,spam
Ok i msg u b4 i leave my house.,ham
Wat r u doing?,ham
Surely result will offer:),ham
Oh yeah I forgot. U can only take 2 out shopping at once.,ham
Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,ham
Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,ham
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham
"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",ham
Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,ham
Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,ham
Dont pick up d call when something important is There to tell. Hrishi,ham
your screen may be deleted due to violations of community laws. checking your laptop might avoid deactivation : 2014. self - health. ob / online,spam
I not free today i haf 2 pick my parents up tonite...,ham
"dear seller, we would like to inform ourselves that 1 of march 2, new platform rules put into effect and platform users are now going through one verification process. a customer named gabi breuer has successfully processed a payment for an order in its store. however, due of our platform security obligations, we were here to verify this transaction. we realize this can be inconvenient, and it is important for the safety of our community.",spam
Unless it's a situation where YOU GO GURL would be more appropriate,ham
In which place i can get rooms cheap:-),ham
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,ham
Thanks for looking out for me. I really appreciate.,ham
I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,ham
I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,ham
"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",ham
"dear seller, your file contains been temporarily deleted due the incomplete data. please confirm your appointment by following the link : sharing. shared - platform. va / confirm",spam
Oh is it! Which brand?,ham
Do u noe how 2 send files between 2 computers?,ham
Thanks for picking up the trash.,ham
I'm leaving my house now...,ham
No..jst change tat only..,ham
S....s...india going to draw the series after many years in south african soil..,ham
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam
HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,ham
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",spam
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",ham
Morning only i can ok.,ham
"a customer has paid for your accounts, but the funds kept on record due to some customer check. confirm the contact information : find. my - cards. com / verify",spam
"Sorry, I'll call later",ham
Went fast asleep dear.take care.,ham
How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,ham
your safety may been taken immediately into breach of community guidelines. address your ability to verify deactivation : online. guideline - update. com / verify,spam
Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,ham
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,spam
Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam
Gam gone after outstanding innings.,ham
"persistent user, these actions on your part include manual verification. please join the information today : www. verify - id. me / actions",spam
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",ham
Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,ham
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam
Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,ham
Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,ham
* Will be september by then!,ham
Your daily text from me – a favour this time,ham
Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.,ham
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,ham
Ok... Let u noe when i leave my house.,ham
Heehee that was so funny tho,ham
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",ham
I'm in town now so i'll jus take mrt down later.,ham
CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X,ham
"Sorry, I'll call later",ham
Wa... U so efficient... Gee... Thanx...,ham
Aight what time you want me to come up?,ham
Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit,ham
Exactly. Anyways how far. Is jide her to study or just visiting,ham
Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,ham
So u workin overtime nigpun?,ham
Huh i cant thk of more oredi how many pages do we have?,ham
Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,ham
Well its not like you actually called someone a punto. That woulda been worse.,ham
That day you asked about anand number. Why:-),ham
"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",ham
Good Morning my Dear........... Have a great &amp; successful day.,ham
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam
now! you ' ve obtained a 1 - dan premium membership. next your account will reveal your destination : destination. premium - offers. com / claim,spam
"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",spam
Sorry i din lock my keypad.,ham
your email access has been charged. know your identity to confirm access : safe. secure - restore. me / verify,spam
I'm going for bath will msg you next  &lt;#&gt;  min..,ham
Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,ham
"dear seller, we were like to greet you that evening of 1 april new platform rules came into force and now all drivers are subject in verification procedure. a customer named maria perez has also settled for this order on this card.",spam
Oh my God. I'm almost home,ham
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,ham
Want to finally have lunch today?,ham
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
Wait 2 min..stand at bus stop,ham
Good Morning plz call me sir,ham
Yup...,ham
All e best 4 ur driving tmr :-),ham
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,spam
Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,spam
Yes princess! I want to catch you with my big strong hands...,ham
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham
R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,ham
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham
some new email has arrived but cannot are received based on his full session. expand space or increase your storage limit : https. secure - storage. com / upgrade,spam
I know that my friend already told that.,ham
Is avatar supposed to have subtoitles,ham
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,ham
"alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x.",ham
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",spam
Yup bathe liao...,ham
No objection. My bf not coming.,ham
Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,ham
Ok... But bag again..,ham
Most of the tiime when i don't let you hug me it's so i don't break into tears.,ham
says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,ham
what complaint has been filed by another person. resolve this issue by log in over his internet link : www. listing - complaints. com / dot,spam
we reported suspicious tracks on your vehicle. please know your status by click on from right link : www. data - check. com / verify,spam
your store may being suspended by breach either center ' s closing rules. please update your configuration details before 6 : 59 pm : platform. platform - updates. html / account,spam
"Alright if you're sure, let me know when you're leaving",ham
Ok i've sent u da latest version of da project.,ham
Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,ham
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,ham
No da. I am happy that we sit together na,ham
Ok,ham
Can ü call me at 10:10 to make sure dat i've woken up...,ham
Nope. Meanwhile she talk say make i greet you.,ham
Ok i am on the way to home hi hi,ham
Long beach lor. Expected... U having dinner now?,ham
Yes but I don't care cause I know its there!,ham
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",ham
Thnx dude. u guys out 2nite?,ham
"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",ham
I'm home. Doc gave me pain meds says everything is fine.,ham
"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",ham
… and don‘t worry we‘ll have finished by march … ish!,ham
that website may be deleted leading to violations upon search guidelines. if our account should avoid piracy : www. guideline - update. php / verify,spam
Pls pls find out from aunt nike.,ham
When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,ham
Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,ham
K. I will sent it again,ham
"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",spam
Yes:)sura in sun tv.:)lol.,ham
as new letter is arrived but cannot been posted due to a full day. empty space or increase a storage facility : www. email - history. com / upgrade,spam
"It wont b until 2.15 as trying 2 sort house out, is that ok?",ham
"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",ham
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",ham
That is wondar full flim.,ham
True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,spam
"dear me, your account has been temporarily expired due to incomplete records. please access your status by following facebook link : photos. verification - partners. tv / page",spam
How much would it cost to hire a hitman,ham
"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",ham
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",ham
Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,ham
Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,ham
Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,spam
No calls..messages..missed calls,ham
"Mah b, I'll pick it up tomorrow",ham
Anytime lor...,ham
"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",ham
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,ham
26th OF JULY,ham
Yup,ham
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",ham
Lol no ouch but wish i'd stayed out a bit longer,ham
"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",spam
U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,spam
"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",ham
You still coming tonight?,ham
I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,ham
Oh dang! I didn't mean o send that to you! Lol!,ham
When are you going to ride your bike?,ham
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam
We left already we at orchard now.,ham
Yo come over carlos will be here soon,ham
I cant pick the phone right now. Pls send a message,ham
your balance on [ holiday schedule ] has been issued due to suspicious circumstances. provide your access to visitors http : www. local - contact. com / unlock,spam
I donno its in your genes or something,ham
"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",ham
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",spam
Go where n buy? Juz buy when we get there lar.,ham
In that case I guess I'll see you at campus lodge,ham
your magnetic stick [ user name ] has been checked due any suspicious activity. verify your status at unlock it : www. a - members. se / unlock,spam
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam
He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,ham
Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,ham
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam
we report suspicious transactions through your account. simply verify your status by saving on the following log : ms. transaction - database. com / notes,spam
I'm home...,ham
"Haha, my friend tyler literally just asked if you could get him a dubsack",ham
